ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2604171NVKG7D8,Hoàn thành,230057869293375,2026-04-16 23:58:09,2026-04-22 10:26:47,2026-04-16 22:53:48,SHOPPKSV - ỐP LƯNG & PHỤ KIỆN,40563949,Preferred(Non-CB),56152247085,"Ốp Lưng Iphone Sang Trọng Giả 17, Bảo Vệ Camera, Hạn Chế Vân Tay Cho 11Promax Đến 17Promax.",400445914039,Normal Product,,Điện Thoại & Phụ Kiện,Phụ kiện,"Vỏ bao, Ốp lưng & Miếng dán",73426,1,Shopee Comm,,63426,,20.00%,12685.2,0.00%,0,12685.2,12685.2,0,12685.2,,0,0.00%,0,100.00%,12685.2,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,quanchunbong,,,,Facebook
2604171NGTQPN0,Hoàn thành,230057473223728,2026-04-16 23:51:13,2026-04-18 21:18:16,2026-04-15 23:09:15,Acar Auto,1148253422,Preferred(Non-CB),25586467650,"[Kèm Quà Tặng] Bọc Vô Lăng DCUT Cho Xe Ô Tô Vinfast VF3, VF5, VF6, VF7, VF8, VF9, VFe34, Limo Green Phong Cách Thể Thao",139258881647,Normal Product,,Ô tô,Phụ kiện nội thất ô tô,Vô lăng & Bọc vô lăng,165000,1,XTRA Comm,,130400,,20.00%,20000,2.50%,3260,23260,20000,3260,23260,,0,0.00%,0,100.00%,23260,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
2604171NE40R9C,Hoàn thành,230057383291248,2026-04-16 23:50:03,2026-04-19 17:57:03,2026-04-16 19:15:31,Đại Nam Sport,33647343,Preferred(Non-CB),22154024417,Bộ 2 Vợt Cầu Lông Khung Carbon 710 Căng Sẵn 9kg (20LBS) Căng Max 11kg + Kèm Túi Và 2 Quấn Cán Vợt,290257138465,Normal Product,,Thể Thao & Dã Ngoại,Dụng Cụ Thể Thao & Dã Ngoại,Cầu Lông,435000,1,XTRA Comm,,365400,,20.00%,20000,3.00%,10962,30962,20000,10962,30962,,0,0.00%,0,100.00%,30962,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,vaykhongtaycochuv,,,,,Facebook
2604171NA55XG3,Đang chờ xử lý,230057250294612,2026-04-16 23:47:50,,2026-04-15 18:46:40,HKUN Dụng Cụ Cầm Tay Chạy Pin,374643561,Preferred(Non-CB),28411797553,Pin 20 Cell Makita 21v Chân Pin Phổ Thông M21 Có Đèn Báo Pin Dòng Xả Cao Mạch 3 Mosfet,226854575917,Normal Product,,Thiết Bị Điện Gia Dụng,Pin,,460000,1,XTRA Comm,,335393,,20.00%,20000,5.00%,16769.65,36769.65,20000,16769.65,36769.65,,0,0.00%,0,100.00%,36769.65,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
2604171NAPAGMN,Hoàn thành,230057267270246,2026-04-16 23:47:47,2026-04-20 10:26:15,2026-04-16 19:25:27,Uyên.Bikini,81699224,Preferred(Non-CB),48806698849,Bikini áo tắm đồ bơi đi biển 2 mảnh cúp ngực xoắn sexy hottrend dễ mặc L14,320600979224,Normal Product,,Thể Thao & Dã Ngoại,Thời Trang Thể Thao & Dã Ngoại,Đồ Bơi,199000,1,XTRA Comm,,184000,,20.00%,20000,3.00%,5520,25520,20000,5520,25520,,0,0.00%,0,100.00%,25520,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,vaykhongtaycochuv,,,,,Facebook
2604171MHN5PET,Đã hủy,230056427209137,2026-04-16 23:33:48,--,2026-04-16 07:11:37,Giày Sneaker Store BOY Phố,727329905,C2C(Non-CB),27926691939,Bộ Cộc Nam Mùa Hè Màu Đỏ Fen Đì Thêu Logo  Cạp Chun Ngực Cao Cấp - Bộ Cộc Nam Nữ Thêu Cao Cấp,302510357739,Normal Product,,Thời Trang Nam,Bộ,,154000,0,Shopee Comm,,0,142079,20.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
2604171M4XX8Y8,Hoàn thành,230056001245568,2026-04-16 23:26:45,2026-04-21 20:11:24,2026-04-16 23:23:02,Xưởng May An An,29549985,Preferred(Non-CB),43152989767,Bộ đũi cộc tay Công Tử cho bé đi học đi chơi,147856641406,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo bé gái,Com lê & đồ bộ,78000,1,XTRA Comm,,78000,,0.00%,0,1.00%,780,780,0,1630,1630,,0,0.00%,0,100.00%,1630,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,dammaxi,,,,,Facebook
2604171M4XX8Y8,Hoàn thành,230056001245568,2026-04-16 23:26:45,2026-04-21 20:11:24,2026-04-16 23:23:02,Xưởng May An An,29549985,Preferred(Non-CB),52656504918,Bộ đũi mặc hè thoáng mát kiểu dáng công tử cho bé trai,325585399305,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo bé gái,Com lê & đồ bộ,85000,1,XTRA Comm,,85000,,0.00%,0,1.00%,850,850,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,dammaxi,,,,,Facebook
2604171KT7N68U,Hoàn thành,230055641280666,2026-04-16 23:20:41,2026-04-19 09:18:32,2026-04-16 19:17:16,yayuan.vn,1046745834,Shopee Mall(CB),25478038021,YAYUAN Short Knitted Cardigan Women's,240754817232,Normal Product,,Thời Trang Nữ,Áo len,,159000,1,XTRA Comm,,108600,,20.00%,20000,2.00%,2172,22172,20000,2172,22172,,0,0.00%,0,100.00%,22172,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,MuseStudio,chanvayrenngan,,,,Others
2604171KGPFEFS,Hoàn thành,230055321277871,2026-04-16 23:15:21,2026-04-22 14:20:03,2026-04-16 22:54:44,dungchi1306,8458890,Preferred(Non-CB),28755298810,Set túi mũ cói tua rua mix ngọc nơ ren đi biển đi chơi đều xinh,251195606602,Normal Product,,Túi Ví Nữ,Túi quai xách,,132000,1,XTRA Comm,,107000,,20.00%,20000,3.00%,3210,23210,20000,3210,23210,,0,0.00%,0,100.00%,23210,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,vaykhongtaycochuv,,,,,Others
2604171K74B03X,Hoàn thành,230055000260224,2026-04-16 23:10:00,2026-04-21 00:20:26,2026-04-16 22:56:45,Happy Boutique.,339195759,Preferred(Non-CB),28458478580,[35~65kg] Áo Thun Nữ Cổ Tim Cotton 100%[ Mã A86]  Mềm Mịn Mát [Sọc Tay Thêu Hươu],224251506258,Normal Product,,Thời Trang Nữ,Áo,Áo thun,105998,1,XTRA Comm,,88878,,20.00%,10000,5.00%,4443.9,14443.9,20000,8887.8,28887.8,,0,0.00%,0,100.00%,28887.8,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdam2,,,,Facebook
2604171K74B03X,Hoàn thành,230055000260224,2026-04-16 23:10:00,2026-04-21 00:20:26,2026-04-16 22:56:45,Happy Boutique.,339195759,Preferred(Non-CB),28458478580,[35~65kg] Áo Thun Nữ Cổ Tim Cotton 100%[ Mã A86]  Mềm Mịn Mát [Sọc Tay Thêu Hươu],224251506259,Normal Product,,Thời Trang Nữ,Áo,Áo thun,105998,1,XTRA Comm,,88878,,20.00%,10000,5.00%,4443.9,14443.9,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdam2,,,,Facebook
2604171JSWVMQB,Hoàn thành,230054558293220,2026-04-16 23:02:58,2026-04-21 08:21:06,2026-04-16 22:12:57,KIM LIÊN KT 89,98712806,C2C(Non-CB),26893915214,"Quần short kaki nữ cao cấp mặt trước lưng tây, mặt sau lưng thun tôn dáng",435538633944,Normal Product,,Thời Trang Nữ,Quần đùi,Quần đùi,109000,1,Shopee Comm,,94000,,20.00%,18800,0.00%,0,18800,18800,0,18800,,0,0.00%,0,100.00%,18800,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,dambodynuluatochau,,,,Others
2604161HXDM979,Hoàn thành,230053634277305,2026-04-16 22:47:15,2026-04-21 17:28:29,2026-04-16 13:41:05,DHC Vietnam Official,44806875,Shopee Mall(Non-CB),4858727517,Combo Thực phẩm bảo vệ sức khoẻ DHC Vitamin C & Vitamin E (20 Ngày)-Dạng viên uống hỗ trợ sáng da,71494734824,Normal Product,,Sức Khỏe,Thực phẩm chức năng,Hỗ trợ sức khỏe,229000,1,XTRA Comm,,183200,,20.00%,20000,3.50%,6412,26412,20000,6412,26412,,0,0.00%,0,100.00%,26412,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,vaykhongtaycochuv,,,,,Facebook
